	PX	PY	PZ	X	Y	Z	Reaction1	Reaction2	Reaction3	Reaction4	Reaction5	Reaction6	Reaction7	Reaction8	Reaction9	Reaction10	Reaction11	Reaction12
0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	6.931471805599453	0.0	0.0	138.62943611198907	0.0	0.0	0.0	0.0	30.0	30.0	30.0
2.0	218.53870391294214	358.0267821894688	84.58888407335776	21.233518538546754	23.60886437645133	5.8662520506946665	7.358976754180506	8.182208889379686	2.033088034696503	147.17953508361012	163.6441777875937	40.661760693930056	15.147948646048052	24.816525463957994	5.863254650215999	5.506924071620964	1.0014913105829257	0.39947777974989374
4.0	428.9382467387175	536.6627762608233	131.03463910290617	15.55977449310601	12.48202191780929	3.2957984597606	5.392606910022492	4.325939150008475	1.142236705038435	107.85213820044983	86.5187830001695	22.8447341007687	29.73173363612682	37.19862902766624	9.082629064986937	2.584704538897592	0.28837874732022084	0.1955761452321573
6.0	542.4656211362053	585.3960592464957	146.5313951949232	11.033626818306628	6.564237365132678	1.9026494954762825	3.823963660229919	2.27499131108398	0.6594080666915938	76.47927320459839	45.4998262216796	13.188161333831877	37.60085158412601	40.57656279776112	10.156782344287612	2.1084129502863553	0.19207175501657794	0.16927852242503902
8.0	596.5695964030048	572.3330533885756	146.99267739047744	8.518859212544065	3.533289876770418	1.1983511041026997	2.952411622381017	1.2245449580922059	0.4153168445648419	59.04823244762034	24.49089916184412	8.306336891296839	41.35105337545272	39.671104229755585	10.188755989616705	2.0962867115672834	0.16413323820758088	0.17567764475510225
10.0	621.0430685035701	532.672171943559	141.0040845624144	7.402872371126144	1.9940716213347889	0.8690041870709921	2.565640056045602	0.6910925610814038	0.30117390108152275	51.31280112091204	13.821851221628078	6.023478021630455	43.04742519395466	36.92202141454203	9.773658366187364	2.2621786153069485	0.15381275973341335	0.1980523587106924
12.0	634.1593459796263	483.80312659074383	133.02734458964474	7.16164236331173	1.2146182948469104	0.7471667209198553	2.4820361061540943	0.42095462326483213	0.2589482530069086	49.640722123081886	8.419092465296643	5.178965060138172	43.95657626915168	33.53467731424604	9.220752883968855	2.5150392871018683	0.14876418786213558	0.23347487035983497
14.0	646.1927800560755	433.99107801848834	125.38080401922053	7.436776144339308	0.8184899158722537	0.7480795358927576	2.577390208452126	0.28366698875179974	0.25926461056932865	51.54780416904252	5.673339775035995	5.185292211386573	44.79067035940616	30.081969211668643	8.690735080226176	2.798535914600206	0.1443988346615677	0.28244769844361184
16.0	662.1896068750175	386.9078599636128	119.30918593312765	7.970970966459335	0.6133611070777858	0.831365956023689	2.762528025863235	0.21257476101804695	0.28812948421567175	55.2505605172647	4.2514952203609395	5.762589684313435	45.89948590015169	26.818409227026034	8.269882584444971	3.0582894509799687	0.13895827441515968	0.3469380797150027
18.0	683.5692487883135	343.956441475524	115.54691911658158	8.55460946409953	0.5018964845895701	0.9805009291820977	2.964801715416007	0.1739440666131043	0.33981572729948883	59.29603430832014	3.4788813322620857	6.796314545989777	47.38140975150993	23.84124376441913	8.009102120804656	3.237257687618565	0.1322720908011476	0.42991315321934387
